City,Temperature,Feels Like,Min Temp,Max Temp,Pressure,Humidity,Wind Speed,Wind Direction,Sunrise,Sunset,lon,lat
Reims,7.88,5.61,7.88,9.41,1018,81,3.6,180,2023-04-06 05:11:20,2023-04-06 18:20:40,4.0833,49.1667
Paris,9.77,7.45,8.88,10.43,1017,86,4.63,240,2023-04-06 05:18:37,2023-04-06 18:27:15,2.3488,48.8534
Marseille,13.16,11.63,11.75,14.82,1018,42,4.92,250,2023-04-06 05:11:41,2023-04-06 18:08:59,5.5,43.3333
Lille,7.98,4.62,7.14,8.28,1014,86,6.17,180,2023-04-06 05:13:40,2023-04-06 18:26:31,3.0586,50.633
Rennes,11.74,11.11,11.09,12.02,1019,82,5.14,250,2023-04-06 05:35:26,2023-04-06 18:42:33,-1.6667,48.1667
Le Havre,11.51,10.99,11.51,12.86,1017,87,7.72,270,2023-04-06 05:26:50,2023-04-06 18:36:58,0.1077,49.4938
Saint-Étienne,8.56,8.1,8.29,8.81,1020,39,1.42,342,2023-04-06 05:13:41,2023-04-06 18:14:59,4.5,45.4167
Toulon,15.5,14.7,13.85,16.49,1018,61,3.6,120,2023-04-06 05:10:09,2023-04-06 18:07:03,5.9333,43.1167
Grenoble,3.32,1.4,3.09,6.92,1019,41,2.01,320,2023-04-06 05:08:41,2023-04-06 18:09:19,5.8333,45.0833
Dijon,8.9,7.86,8.85,10.18,1020,57,2.06,210,2023-04-06 05:09:39,2023-04-06 18:14:52,5.0167,47.3167
Angers,11.55,10.77,10.97,11.56,1020,77,4.57,255,2023-04-06 05:31:44,2023-04-06 18:37:19,-0.55,47.4667
Nîmes,13.21,11.5,12.94,14.1,1020,35,4.12,30,2023-04-06 05:15:28,2023-04-06 18:13:52,4.4167,43.9167
Villeurbanne,11.92,10.32,10.45,12.8,1020,44,1.54,50,2023-04-06 05:11:48,2023-04-06 18:13:48,4.8833,45.7667
Lyon,10.14,8.28,8.04,10.27,1020,41,0.66,21,2023-04-06 05:13:01,2023-04-06 18:14:59,4.5833,45.75
Toulouse,11.12,10.01,10.99,13.76,1021,66,2.06,310,2023-04-06 05:27:38,2023-04-06 18:25:28,1.4437,43.6043
Nice,5.07,3.21,4.46,5.54,1019,72,2.25,201,2023-04-06 05:04:04,2023-04-06 18:02:36,7.25,44.0
Nantes,11.28,10.74,10.96,12.22,1020,87,4.12,250,2023-04-06 05:36:11,2023-04-06 18:41:08,-1.5833,47.1667
Strasbourg,10.25,8.53,10.01,11.83,1020,46,1.54,190,2023-04-06 04:57:22,2023-04-06 18:05:21,7.743,48.5834
Montpellier,15.3,13.67,14.29,15.83,1019,30,2.57,360,2023-04-06 05:17:54,2023-04-06 18:15:44,3.8772,43.6109
Bordeaux,15.15,13.79,15.15,17.41,1021,41,2.06,240,2023-04-06 05:34:32,2023-04-06 18:34:45,-0.5805,44.8404
